Passage,NewID,WordNo,Sentence,WordID,IDEnd,IDBegin,Word,WordWithPunctuation,WordNoPunctuation,WP,WL,WordClass,CosineSimilarity_Content_Sentence,PartOfSpeech
11,11Aw08,8,1,Aw08,Middle1,Middle1,almost,almost,almost,8,6,Content,0.17405674,ADV
11,11Aw09,9,1,Aw09,Middle1,Middle1,nothing,nothing,nothing,9,7,Content,0.3325849,PRON
11,11Aw10,10,1,Aw10,Middle1,Middle1,to,to,to,10,2,Function,WordNotInVocabulary,ADP
11,11Aw11,11,1,Aw11,Middle1,Middle1,improve,improve,improve,11,7,Content,0.15015152,VERB
11,11Aw12,12,1,Aw12,Middle1,Middle1,the,the,the,12,3,Function,0.3349862,PRON
11,11Aw13,13,1,Aw13,Middle1,Middle1,quality,quality,quality,13,7,Content,0.3011674,NOUN
11,11Aw14,14,1,Aw14,Middle1,Middle1,of,of,of,14,2,Function,WordNotInVocabulary,ADP
11,11Aw15,15,1,Aw15,Middle1,Middle1,health,health,health,15,6,Content,0.41192153,NOUN
11,11Aw16,16,1,Aw16,AEN-2,AEN-2,"care,","care,",care,16,4,Content,0.47731748,NOUN
11,11Aw17,17,1,Aw17,AEN-1,AEN-1,research,research,research,17,8,Content,0.25043803,NOUN
11,11Aw18,18,1,Aw18,AEN,AEN,suggests.,suggests.,suggests,18,8,Content,0.2193687,VERB
11,11Bw01,19,2,Bw01,Bw01,Bw01,What,What,What,1,4,Function,,PRON
11,11Bw02,20,2,Bw02,Bw02,Bw02,may,may,may,2,3,Function,NA,AUX
11,11Bw03,21,2,Bw03,Bw03,Bw03,be,be,be,3,2,Content,NA,AUX
11,11Bw04,22,2,Bw04,Middle2,Middle2,more,more,more,4,4,Content,0.20697938,ADJ
11,11Bw05,23,2,Bw05,Middle2,Middle2,concerning,concerning,concerning,5,10,Content,0.15925749,VERB
11,11Bw06,24,2,Bw06,Middle2,Middle2,is,is,is,6,2,Content,0.36198267,AUX
11,11Bw07,25,2,Bw07,Middle2,Middle2,that,that,that,7,4,Function,0.47246307,SCONJ
11,11Bw08,26,2,Bw08,Middle2,Middle2,there,there,there,8,5,Content,0.38978693,ADV
11,11Bw09,27,2,Bw09,Middle2,Middle2,is,is,is,9,2,Content,0.62467116,AUX
11,11Bw10,28,2,Bw10,Middle2,Middle2,very,very,very,10,4,Content,0.47052696,ADV
11,11Bw11,29,2,Bw11,Middle2,Middle2,little,little,little,11,6,Content,0.45563743,ADJ
11,11Bw12,30,2,Bw12,Middle2,Middle2,"discussion,","discussion,",discussion,12,10,Content,0.24913996,NOUN
11,11Bw13,31,2,Bw13,Middle2,Middle2,much,much,much,13,4,Content,0.44095185,ADJ
11,11Bw14,32,2,Bw14,Middle2,Middle2,less,less,less,14,4,Content,0.51470256,ADJ
11,11Bw15,33,2,Bw15,BEN-2,BEN-2,"action,","action,",action,15,6,Content,0.20445518,NOUN
11,11Bw16,34,2,Bw16,BEN-1,BEN-1,on,on,on,16,2,Function,0.28161988,ADP
11,11Bw17,35,2,Bw17,BEN,BEN,reform.,reform.,reform,17,6,Content,0.22385931,NOUN
12,12Aw01,1,1,Aw01,Aw01,Aw01,Many,Many,Many,1,4,Content,,ADJ
12,12Aw02,2,1,Aw02,Aw02,Aw02,studies,studies,studies,2,7,Content,0.06473788,NOUN
12,12Aw03,3,1,Aw03,Aw03,Aw03,have,have,have,3,4,Content,0.33501127,VERB
12,12Aw04,4,1,Aw04,Middle1,Middle1,found,found,found,4,5,Content,0.23826963,VERB
12,12Aw05,5,1,Aw05,Middle1,Middle1,that,that,that,5,4,Function,0.3973352,SCONJ
12,12Aw06,6,1,Aw06,Middle1,Middle1,obesity,obesity,obesity,6,7,Content,0.22007212,NOUN
12,12Aw07,7,1,Aw07,Middle1,Middle1,is,is,is,7,2,Content,0.18142444,AUX
12,12Aw08,8,1,Aw08,Middle1,Middle1,associated,associated,associated,8,10,Content,0.20903967,VERB
12,12Aw09,9,1,Aw09,Middle1,Middle1,with,with,with,9,4,Function,0.32594934,ADP
12,12Aw10,10,1,Aw10,Middle1,Middle1,an,an,an,10,2,Function,0.13772893,PRON
12,12Aw11,11,1,Aw11,Middle1,Middle1,increased,increased,increased,11,9,Content,0.29955348,VERB
12,12Aw12,12,1,Aw12,Middle1,Middle1,risk,risk,risk,12,4,Content,0.34876397,NOUN
12,12Aw13,13,1,Aw13,AEN-2,AEN-2,for,for,for,13,3,Function,0.30171973,ADP
12,12Aw14,14,1,Aw14,AEN-1,AEN-1,prostate,prostate,prostate,14,8,Content,0.21706912,NOUN
12,12Aw15,15,1,Aw15,AEN,AEN,cancer.,cancer.,cancer,15,6,Content,0.42881382,NOUN
12,12Bw01,16,2,Bw01,Bw01,Bw01,Now,Now,Now,1,3,Content,,INTJ
12,12Bw02,17,2,Bw02,Bw02,Bw02,a,a,a,2,1,Function,WordNotInVocabulary,INTJ
12,12Bw03,18,2,Bw03,Bw03,Bw03,new,new,new,3,3,Content,0.26457247,ADJ
12,12Bw04,19,2,Bw04,Middle2,Middle2,study,study,study,4,5,Content,0.07273813,NOUN
12,12Bw05,20,2,Bw05,Middle2,Middle2,suggests,suggests,suggests,5,8,Content,0.31442675,VERB
12,12Bw06,21,2,Bw06,Middle2,Middle2,that,that,that,6,4,Function,0.3577524,SCONJ
12,12Bw07,22,2,Bw07,Middle2,Middle2,the,the,the,7,3,Function,0.3394763,PRON
12,12Bw08,23,2,Bw08,Middle2,Middle2,degree,degree,degree,8,6,Content,0.17239626,NOUN
12,12Bw09,24,2,Bw09,Middle2,Middle2,of,of,of,9,2,Function,WordNotInVocabulary,ADP
12,12Bw10,25,2,Bw10,Middle2,Middle2,risk,risk,risk,10,4,Content,0.30382177,NOUN
12,12Bw11,26,2,Bw11,Middle2,Middle2,may,may,may,11,3,Function,0.40039274,AUX
12,12Bw12,27,2,Bw12,Middle2,Middle2,depend,depend,depend,12,6,Content,0.18414262,VERB
12,12Bw13,28,2,Bw13,Middle2,Middle2,on,on,on,13,2,Function,0.20363073,ADP
12,12Bw14,29,2,Bw14,Middle2,Middle2,where,where,where,14,5,Content,0.25342867,SCONJ
12,12Bw15,30,2,Bw15,Middle2,Middle2,in,in,in,15,2,Function,0.37759396,ADP
12,12Bw16,31,2,Bw16,Middle2,Middle2,the,the,the,16,3,Function,0.3505325,PRON
12,12Bw17,32,2,Bw17,Middle2,Middle2,body,body,body,17,4,Content,0.1778448,NOUN
12,12Bw18,33,2,Bw18,BEN-2,BEN-2,the,the,the,18,3,Function,0.36052698,PRON
12,12Bw19,34,2,Bw19,BEN-1,BEN-1,fat,fat,fat,19,3,Content,0.25767988,ADJ
12,12Bw20,35,2,Bw20,BEN,BEN,is.,is.,is,20,2,Content,0.35678333,AUX
13,13Aw01,1,1,Aw01,Aw01,Aw01,In,In,In,1,2,Function,,ADP
13,13Aw02,2,1,Aw02,Aw02,Aw02,"general,","general,",general,2,7,Content,NA,ADJ
13,13Aw03,3,1,Aw03,Aw03,Aw03,any,any,any,3,3,Function,0.18848512,INTJ
13,13Aw04,4,1,Aw04,Middle1,Middle1,exercise,exercise,exercise,4,8,Content,0.09025233,NOUN
13,13Aw05,5,1,Aw05,AEN-2,AEN-2,improves,improves,improves,5,8,Content,0.11960418,VERB
13,13Aw06,6,1,Aw06,AEN-1,AEN-1,our,our,our,6,3,Function,0.21582846,PRON
13,13Aw07,7,1,Aw07,AEN,AEN,health.,health.,health,7,6,Content,0.2582611,NOUN
13,13Bw01,8,2,Bw01,Bw01,Bw01,But,But,But,1,3,Function,,CCONJ
13,13Bw02,9,2,Bw02,Bw02,Bw02,a,a,a,2,1,Function,WordNotInVocabulary,INTJ
13,13Bw03,10,2,Bw03,Bw03,Bw03,wealth,wealth,wealth,3,6,Content,NA,NOUN
13,13Bw04,11,2,Bw04,Middle2,Middle2,of,of,of,4,2,Function,WordNotInVocabulary,ADP
13,13Bw05,12,2,Bw05,Middle2,Middle2,recent,recent,recent,5,6,Content,0.03509179,ADJ
13,13Bw06,13,2,Bw06,Middle2,Middle2,science,science,science,6,7,Content,0.08273631,NOUN
13,13Bw07,14,2,Bw07,Middle2,Middle2,and,and,and,7,3,Function,WordNotInVocabulary,CCONJ
13,13Bw08,15,2,Bw08,Middle2,Middle2,personal,personal,personal,8,8,Content,0.2814526,ADJ
13,13Bw09,16,2,Bw09,Middle2,Middle2,experience,experience,experience,9,10,Content,0.32095397,NOUN
13,13Bw10,17,2,Bw10,Middle2,Middle2,indicate,indicate,indicate,10,8,Content,0.07043583,VERB
13,13Bw11,18,2,Bw11,Middle2,Middle2,that,that,that,11,4,Function,0.3042198,SCONJ
13,13Bw12,19,2,Bw12,Middle2,Middle2,different,different,different,12,9,Content,0.21421772,ADJ
13,13Bw13,20,2,Bw13,Middle2,Middle2,people,people,people,13,6,Content,0.26412818,NOUN
13,13Bw14,21,2,Bw14,Middle2,Middle2,can,can,can,14,3,Function,0.24988347,AUX
13,13Bw15,22,2,Bw15,Middle2,Middle2,respond,respond,respond,15,7,Content,0.1979055,VERB
13,13Bw16,23,2,Bw16,Middle2,Middle2,to,to,to,16,2,Function,WordNotInVocabulary,ADP
13,13Bw17,24,2,Bw17,Middle2,Middle2,similar,similar,similar,17,7,Content,0.35540932,ADJ
13,13Bw18,25,2,Bw18,Middle2,Middle2,exercise,exercise,exercise,18,8,Content,0.18309502,NOUN
13,13Bw19,26,2,Bw19,Middle2,Middle2,routines,routines,routines,19,8,Content,0.18693702,NOUN
13,13Bw20,27,2,Bw20,BEN-2,BEN-2,in,in,in,20,2,Function,0.3196413,ADP
13,13Bw21,28,2,Bw21,BEN-1,BEN-1,different,different,different,21,9,Content,0.49205276,ADJ
13,13Bw22,29,2,Bw22,BEN,BEN,ways.,ways.,ways,22,4,Content,0.30564457,NOUN
14,14Aw01,1,1,Aw01,Aw01,Aw01,A,A,A,1,1,Function,WordNotInVocabulary,NOUN
14,14Aw02,2,1,Aw02,Aw02,Aw02,lifelong,lifelong,lifelong,2,8,Content,WordNotInVocabulary,ADJ
14,14Aw03,3,1,Aw03,Aw03,Aw03,swimmer,swimmer,swimmer,3,7,Content,0.11344537,NOUN
14,14Aw04,4,1,Aw04,Middle1,Middle1,leapt,leapt,leapt,4,5,Content,0.061438013,ADJ
14,14Aw05,5,1,Aw05,Middle1,Middle1,into,into,into,5,4,Function,0.06270967,ADP
14,14Aw06,6,1,Aw06,Middle1,Middle1,deep,deep,deep,6,4,Content,0.16835766,ADJ
14,14Aw07,7,1,Aw07,Middle1,Middle1,water,water,water,7,5,Content,0.21418013,NOUN
14,14Aw08,8,1,Aw08,Middle1,Middle1,near,near,near,8,4,Function,0.17215256,ADV
14,14Aw09,9,1,Aw09,Middle1,Middle1,his,his,his,9,3,Function,0.26658478,PRON
14,14Aw10,10,1,Aw10,Middle1,Middle1,lakeside,lakeside,lakeside,10,8,Content,0.25647765,NOUN
14,14Aw11,11,1,Aw11,Middle1,Middle1,"home,","home,",home,11,4,Content,0.21135862,NOUN
14,14Aw12,12,1,Aw12,Middle1,Middle1,and,and,and,12,3,Function,WordNotInVocabulary,CCONJ
14,14Aw13,13,1,Aw13,Middle1,Middle1,was,was,was,13,3,Content,0.2206804,AUX
14,14Aw14,14,1,Aw14,Middle1,Middle1,horrified,horrified,horrified,14,9,Content,0.20718016,VERB
14,14Aw15,15,1,Aw15,Middle1,Middle1,to,to,to,15,2,Function,WordNotInVocabulary,ADP
14,14Aw16,16,1,Aw16,Middle1,Middle1,find,find,find,16,4,Content,0.18275376,VERB
14,14Aw17,17,1,Aw17,Middle1,Middle1,himself,himself,himself,17,7,Function,0.2506164,PRON
14,14Aw18,18,1,Aw18,Middle1,Middle1,completely,completely,completely,18,10,Content,0.17757636,ADV
14,14Aw19,19,1,Aw19,AEN-2,AEN-2,unable,unable,unable,19,6,Content,0.24737707,ADJ
14,14Aw20,20,1,Aw20,AEN-1,AEN-1,to,to,to,20,2,Function,WordNotInVocabulary,ADP
14,14Aw21,21,1,Aw21,AEN,AEN,swim.,swim.,swim,21,4,Content,0.4540904,NOUN
14,14Bw01,22,2,Bw01,Bw01,Bw01,Had,Had,Had,1,3,Content,,VERB
14,14Bw02,23,2,Bw02,Bw02,Bw02,his,his,his,2,3,Function,0.28107622,PRON
14,14Bw03,24,2,Bw03,Bw03,Bw03,wife,wife,wife,3,4,Content,0.12364194,NOUN
14,14Bw04,25,2,Bw04,Middle2,Middle2,not,not,not,4,3,Content,0.26566115,PART
14,14Bw05,26,2,Bw05,Middle2,Middle2,rescued,rescued,rescued,5,7,Content,0.13728957,VERB
14,14Bw06,27,2,Bw06,Middle2,Middle2,"him,","him,",him,6,3,Function,0.33336794,PRON
14,14Bw07,28,2,Bw07,Middle2,Middle2,he,he,he,7,2,Function,0.39876696,PRON
14,14Bw08,29,2,Bw08,BEN-2,BEN-2,might,might,might,8,5,Function,0.32399562,ADV
14,14Bw09,30,2,Bw09,BEN-1,BEN-1,have,have,have,9,4,Content,0.37707403,VERB
14,14Bw10,31,2,Bw10,BEN,BEN,drowned.,drowned.,drowned,10,7,Content,0.4169565,VERB
15,15Aw01,1,1,Aw01,Aw01,Aw01,Scientists,Scientists,Scientists,1,10,Content,,NOUN
15,15Aw02,2,1,Aw02,Aw02,Aw02,have,have,have,2,4,Content,0.13752052,VERB
15,15Aw03,3,1,Aw03,Aw03,Aw03,used,used,used,3,4,Content,0.108610444,VERB
15,15Aw04,4,1,Aw04,Middle1,Middle1,genetically,genetically,genetically,4,11,Content,0.28858942,ADV
15,15Aw05,5,1,Aw05,Middle1,Middle1,reprogrammed,reprogrammed,reprogrammed,5,12,Content,0.33002752,VERB
15,15Aw06,6,1,Aw06,Middle1,Middle1,bacteria,bacteria,bacteria,6,8,Content,0.35855374,NOUN
15,15Aw07,7,1,Aw07,Middle1,Middle1,to,to,to,7,2,Function,WordNotInVocabulary,ADP
15,15Aw08,8,1,Aw08,Middle1,Middle1,destroy,destroy,destroy,8,7,Content,0.24227202,VERB
15,15Aw09,9,1,Aw09,AEN-2,AEN-2,tumors,tumors,tumors,9,6,Content,0.42682317,NOUN
15,15Aw10,10,1,Aw10,AEN-1,AEN-1,in,in,in,10,2,Function,0.075447984,ADP
15,15Aw11,11,1,Aw11,AEN,AEN,mice.,mice.,mice,11,4,Content,0.56992835,NOUN
15,15Bw01,12,2,Bw01,Bw01,Bw01,The,The,The,1,3,Function,,PRON
15,15Bw02,13,2,Bw02,Bw02,Bw02,innovative,innovative,innovative,2,10,Content,NA,ADJ
15,15Bw03,14,2,Bw03,Bw03,Bw03,method,method,method,3,6,Content,0.25001013,NOUN
15,15Bw04,15,2,Bw04,Middle2,Middle2,one,one,one,4,3,Function,0.10351957,NUM
15,15Bw05,16,2,Bw05,Middle2,Middle2,day,day,day,5,3,Content,0.03484433,NOUN
15,15Bw06,17,2,Bw06,Middle2,Middle2,may,may,may,6,3,Function,0.10123231,AUX
15,15Bw07,18,2,Bw07,Middle2,Middle2,lead,lead,lead,7,4,Content,0.020545593,NOUN
15,15Bw08,19,2,Bw08,Middle2,Middle2,to,to,to,8,2,Function,WordNotInVocabulary,ADP
15,15Bw09,20,2,Bw09,Middle2,Middle2,cancer,cancer,cancer,9,6,Content,0.13881251,NOUN
15,15Bw10,21,2,Bw10,Middle2,Middle2,therapies,therapies,therapies,10,9,Content,0.43630424,NOUN
15,15Bw11,22,2,Bw11,Middle2,Middle2,that,that,that,11,4,Function,0.18682149,SCONJ
15,15Bw12,23,2,Bw12,Middle2,Middle2,treat,treat,treat,12,5,Content,0.34601268,NOUN
15,15Bw13,24,2,Bw13,Middle2,Middle2,the,the,the,13,3,Function,0.18769766,PRON
15,15Bw14,25,2,Bw14,Middle2,Middle2,disease,disease,disease,14,7,Content,0.48524505,NOUN
15,15Bw15,26,2,Bw15,Middle2,Middle2,more,more,more,15,4,Content,0.19569996,ADJ
15,15Bw16,27,2,Bw16,Middle2,Middle2,"precisely,","precisely,",precisely,16,9,Content,0.16865177,ADV
15,15Bw17,28,2,Bw17,Middle2,Middle2,without,without,without,17,7,Function,0.1932432,ADP
15,15Bw18,29,2,Bw18,Middle2,Middle2,the,the,the,18,3,Function,0.22790845,PRON
15,15Bw19,30,2,Bw19,Middle2,Middle2,side,side,side,19,4,Content,0.15157047,NOUN
15,15Bw20,31,2,Bw20,Middle2,Middle2,effects,effects,effects,20,7,Content,0.30660465,NOUN
15,15Bw21,32,2,Bw21,BEN-2,BEN-2,of,of,of,21,2,Function,WordNotInVocabulary,ADP
15,15Bw22,33,2,Bw22,BEN-1,BEN-1,conventional,conventional,conventional,22,12,Content,0.32404724,ADJ
15,15Bw23,34,2,Bw23,BEN,BEN,drugs.,drugs.,drugs,23,5,Content,0.4215355,NOUN
16,16Aw01,1,1,Aw01,Aw01,Aw01,A,A,A,1,1,Function,WordNotInVocabulary,NOUN
16,16Aw02,2,1,Aw02,Aw02,Aw02,cluster,cluster,cluster,2,7,Content,WordNotInVocabulary,NOUN
16,16Aw03,3,1,Aw03,Aw03,Aw03,of,of,of,3,2,Function,WordNotInVocabulary,ADP
16,16Aw04,4,1,Aw04,Middle1,Middle1,police,police,police,4,6,Content,0.0676829,NOUN
16,16Aw05,5,1,Aw05,Middle1,Middle1,suicides,suicides,suicides,5,8,Content,0.23716734,NOUN
16,16Aw06,6,1,Aw06,Middle1,Middle1,has,has,has,6,3,Content,0.10943649,VERB
16,16Aw07,7,1,Aw07,Middle1,Middle1,prompted,prompted,prompted,7,8,Content,0.15004489,VERB
16,16Aw08,8,1,Aw08,Middle1,Middle1,leaders,leaders,leaders,8,7,Content,0.1819579,NOUN
16,16Aw09,9,1,Aw09,Middle1,Middle1,to,to,to,9,2,Function,WordNotInVocabulary,ADP
16,16Aw10,10,1,Aw10,Middle1,Middle1,plead,plead,plead,10,5,Content,0.10993163,ADJ
16,16Aw11,11,1,Aw11,Middle1,Middle1,with,with,with,11,4,Function,0.21370918,ADP
16,16Aw12,12,1,Aw12,Middle1,Middle1,troubled,troubled,troubled,12,8,Content,0.28089646,ADJ
16,16Aw13,13,1,Aw13,Middle1,Middle1,officers,officers,officers,13,8,Content,0.4092,NOUN
16,16Aw14,14,1,Aw14,AEN-2,AEN-2,to,to,to,14,2,Function,WordNotInVocabulary,ADP
16,16Aw15,15,1,Aw15,AEN-1,AEN-1,seek,seek,seek,15,4,Content,0.2638629,VERB
16,16Aw16,16,1,Aw16,AEN,AEN,help.,help.,help,16,4,Content,0.3412825,VERB
16,16Bw01,17,2,Bw01,Bw01,Bw01,But,But,But,1,3,Function,,CCONJ
16,16Bw02,18,2,Bw02,BEN-2,Bw02,resistance,resistance,resistance,2,10,Content,NA,NOUN
16,16Bw03,19,2,Bw03,BEN-1,Bw03,is,is,is,3,2,Content,0.08026297,AUX
16,16Bw04,20,2,Bw04,BEN,BEN,strong.,strong.,strong,4,6,Content,0.24692298,ADJ
17,17Aw01,1,1,Aw01,Aw01,Aw01,Positional,Positional,Positional,1,10,Content,,ADJ
17,17Aw02,2,1,Aw02,Aw02,Aw02,vertigo,vertigo,vertigo,2,7,Content,0.20656015,PROPN
17,17Aw03,3,1,Aw03,Aw03,Aw03,is,is,is,3,2,Content,0.020383606,AUX
17,17Aw04,4,1,Aw04,Middle1,Middle1,a,a,a,4,1,Function,WordNotInVocabulary,INTJ
17,17Aw05,5,1,Aw05,Middle1,Middle1,common,common,common,5,6,Content,0.16420506,ADJ
17,17Aw06,6,1,Aw06,Middle1,Middle1,type,type,type,6,4,Content,0.3353219,NOUN
17,17Aw07,7,1,Aw07,Middle1,Middle1,of,of,of,7,2,Function,WordNotInVocabulary,ADP
17,17Aw08,8,1,Aw08,Middle1,Middle1,dizziness,dizziness,dizziness,8,9,Content,0.44112524,NOUN
17,17Aw09,9,1,Aw09,Middle1,Middle1,that,that,that,9,4,Function,0.23704702,SCONJ
17,17Aw10,10,1,Aw10,Middle1,Middle1,can,can,can,10,3,Function,0.2186595,AUX
17,17Aw11,11,1,Aw11,Middle1,Middle1,be,be,be,11,2,Content,0.16583733,AUX
17,17Aw12,12,1,Aw12,Middle1,Middle1,treated,treated,treated,12,7,Content,0.21383111,VERB
17,17Aw13,13,1,Aw13,Middle1,Middle1,with,with,with,13,4,Function,0.25260544,ADP
17,17Aw14,14,1,Aw14,AEN-2,AEN-2,a,a,a,14,1,Function,WordNotInVocabulary,INTJ
17,17Aw15,15,1,Aw15,AEN-1,AEN-1,simple,simple,simple,15,6,Content,0.21870905,ADJ
17,17Aw16,16,1,Aw16,AEN,AEN,maneuver.,maneuver.,maneuver,16,8,Content,0.1682441,NOUN
17,17Bw01,17,2,Bw01,Bw01,Bw01,Vertigo,Vertigo,Vertigo,1,7,Content,,NOUN
17,17Bw02,18,2,Bw02,Bw02,Bw02,is,is,is,2,2,Content,0.051287957,AUX
17,17Bw03,19,2,Bw03,Bw03,Bw03,an,an,an,3,2,Function,0.18876734,PRON
17,17Bw04,20,2,Bw04,Middle2,Middle2,illusory,illusory,illusory,4,8,Content,0.116860814,PROPN
17,17Bw05,21,2,Bw05,Middle2,Middle2,sensation,sensation,sensation,5,9,Content,0.2822115,NOUN
17,17Bw06,22,2,Bw06,Middle2,Middle2,of,of,of,6,2,Function,WordNotInVocabulary,ADP
17,17Bw07,23,2,Bw07,Middle2,Middle2,motion,motion,motion,7,6,Content,0.14645016,NOUN
17,17Bw08,24,2,Bw08,Middle2,Middle2,that,that,that,8,4,Function,0.23074813,SCONJ
17,17Bw09,25,2,Bw09,Middle2,Middle2,is,is,is,9,2,Content,0.32456794,AUX
17,17Bw10,26,2,Bw10,Middle2,Middle2,often,often,often,10,5,Content,0.12854826,ADV
17,17Bw11,27,2,Bw11,Middle2,Middle2,accompanied,accompanied,accompanied,11,11,Content,0.110596724,VERB
17,17Bw12,28,2,Bw12,BEN-2,BEN-2,by,by,by,12,2,Function,0.28215975,ADP
17,17Bw13,29,2,Bw13,BEN-1,BEN-1,intense,intense,intense,13,7,Content,0.2726958,ADJ
17,17Bw14,30,2,Bw14,BEN,BEN,nausea.,nausea.,nausea,14,6,Content,0.33322597,NOUN
18,18Aw01,1,1,Aw01,Aw01,Aw01,When,When,When,1,4,Content,,SCONJ
18,18Aw02,2,1,Aw02,Aw02,Aw02,new,new,new,2,3,Content,0.1549787,ADJ
18,18Aw03,3,1,Aw03,Aw03,Aw03,breast,breast,breast,3,6,Content,0.019921595,NOUN
18,18Aw04,4,1,Aw04,Middle1,Middle1,cancer,cancer,cancer,4,6,Content,0.38062236,NOUN
18,18Aw05,5,1,Aw05,Middle1,Middle1,drugs,drugs,drugs,5,5,Content,0.20683081,NOUN
18,18Aw06,6,1,Aw06,Middle1,Middle1,come,come,come,6,4,Content,0.12974636,VERB
18,18Aw07,7,1,Aw07,Middle1,Middle1,to,to,to,7,2,Function,WordNotInVocabulary,ADP
18,18Aw08,8,1,Aw08,Middle1,Middle1,"market,","market,",market,8,6,Content,0.12591931,NOUN
18,18Aw09,9,1,Aw09,Middle1,Middle1,there,there,there,9,5,Content,0.25019914,ADV
18,18Aw10,10,1,Aw10,Middle1,Middle1,is,is,is,10,2,Content,0.2332192,AUX
18,18Aw11,11,1,Aw11,Middle1,Middle1,little,little,little,11,6,Content,0.35306376,ADJ
18,18Aw12,12,1,Aw12,Middle1,Middle1,data,data,data,12,4,Content,0.17048527,NOUN
18,18Aw13,13,1,Aw13,Middle1,Middle1,to,to,to,13,2,Function,WordNotInVocabulary,ADP
18,18Aw14,14,1,Aw14,Middle1,Middle1,indicate,indicate,indicate,14,8,Content,0.22327767,VERB
18,18Aw15,15,1,Aw15,Middle1,Middle1,whether,whether,whether,15,7,Function,0.2942357,SCONJ
18,18Aw16,16,1,Aw16,Middle1,Middle1,they,they,they,16,4,Function,0.4121441,PRON
18,18Aw17,17,1,Aw17,Middle1,Middle1,are,are,are,17,3,Content,0.36234483,AUX
18,18Aw18,18,1,Aw18,Middle1,Middle1,safe,safe,safe,18,4,Content,0.2495934,ADJ
18,18Aw19,19,1,Aw19,Middle1,Middle1,or,or,or,19,2,Function,0.33859512,CCONJ
18,18Aw20,20,1,Aw20,AEN-2,AEN-2,effective,effective,effective,20,9,Content,0.26183084,ADJ
18,18Aw21,21,1,Aw21,AEN-1,AEN-1,in,in,in,21,2,Function,0.346168,ADP
18,18Aw22,22,1,Aw22,AEN,AEN,men.,men.,men,22,3,Content,0.21259539,NOUN
18,18Bw01,23,2,Bw01,Bw01,Bw01,Some,Some,Some,1,4,Function,,PRON
18,18Bw02,24,2,Bw02,Bw02,Bw02,new,new,new,2,3,Content,NA,ADJ
18,18Bw03,25,2,Bw03,Bw03,Bw03,drugs,drugs,drugs,3,5,Content,0.06423329,NOUN
18,18Bw04,26,2,Bw04,Middle2,Middle2,are,are,are,4,3,Content,0.16557255,AUX
18,18Bw05,27,2,Bw05,Middle2,Middle2,approved,approved,approved,5,8,Content,0.1961102,VERB
18,18Bw06,28,2,Bw06,BEN-2,BEN-2,only,only,only,6,4,Content,0.21806483,ADV
18,18Bw07,29,2,Bw07,BEN-1,BEN-1,for,for,for,7,3,Function,0.3390905,ADP
18,18Bw08,30,2,Bw08,BEN,BEN,women.,women.,women,8,5,Content,0.2097354,NOUN
19,19Aw01,1,1,Aw01,Aw01,Aw01,Polio,Polio,Polio,1,5,Content,,PROPN
19,19Aw02,2,1,Aw02,Aw02,Aw02,is,is,is,2,2,Content,0.006418136,AUX
19,19Aw03,3,1,Aw03,Aw03,Aw03,an,an,an,3,2,Function,0.13102014,PRON
19,19Aw04,4,1,Aw04,Middle1,Middle1,infectious,infectious,infectious,4,10,Content,0.29638806,ADJ
19,19Aw05,5,1,Aw05,Middle1,Middle1,disease,disease,disease,5,7,Content,0.60684556,NOUN
19,19Aw06,6,1,Aw06,Middle1,Middle1,that,that,that,6,4,Function,0.19381551,SCONJ
19,19Aw07,7,1,Aw07,Middle1,Middle1,can,can,can,7,3,Function,0.20231083,AUX
19,19Aw08,8,1,Aw08,Middle1,Middle1,spread,spread,spread,8,6,Content,0.27665925,NOUN
19,19Aw09,9,1,Aw09,Middle1,Middle1,rapidly,rapidly,rapidly,9,7,Content,0.15865439,ADV
19,19Aw10,10,1,Aw10,Middle1,Middle1,and,and,and,10,3,Function,WordNotInVocabulary,CCONJ
19,19Aw11,11,1,Aw11,Middle1,Middle1,mainly,mainly,mainly,11,6,Content,0.12707533,ADV
19,19Aw12,12,1,Aw12,AEN-2,AEN-2,affects,affects,affects,12,7,Content,0.29992503,NOUN
19,19Aw13,13,1,Aw13,AEN-1,AEN-1,young,young,young,13,5,Content,0.24004617,ADJ
19,19Aw14,14,1,Aw14,AEN,AEN,children.,children.,children,14,8,Content,0.29180557,NOUN
19,19Bw01,15,2,Bw01,Bw01,Bw01,It,It,It,1,2,Function,,PRON
19,19Bw02,16,2,Bw02,Bw02,Bw02,can,can,can,2,3,Function,NA,AUX
19,19Bw03,17,2,Bw03,Bw03,Bw03,cause,cause,cause,3,5,Content,NA,NOUN
19,19Bw04,18,2,Bw04,Middle2,Middle2,muscle,muscle,muscle,4,6,Content,0.1661397,NOUN
19,19Bw05,19,2,Bw05,Middle2,Middle2,"weakness,","weakness,",weakness,5,8,Content,0.26112527,NOUN
19,19Bw06,20,2,Bw06,Middle2,Middle2,paralysis,paralysis,paralysis,6,9,Content,0.40632236,NOUN
19,19Bw07,21,2,Bw07,Middle2,Middle2,"and,","and,",and,7,3,Function,WordNotInVocabulary,CCONJ
19,19Bw08,22,2,Bw08,Middle2,Middle2,on,on,on,8,2,Function,0.08319068,ADP
19,19Bw09,23,2,Bw09,Middle2,Middle2,rare,rare,rare,9,4,Content,0.20059612,ADJ
19,19Bw10,24,2,Bw10,Middle2,Middle2,"occasions,","occasions,",occasions,10,9,Content,0.0904402,NOUN
